figure_type,bucket,property,path,data_points,unique_systems,coverage_group
property_distribution_1d,simulation,q_neg_sum,figures/property_distributions_1d/high/simulation_q_neg_sum_q_neg_sum_value.png,28212,27274,high
system_frequency,simulation,q_neg_sum,figures/system_frequency/high/simulation_q_neg_sum.png,28212,27274,high
property_distribution_1d,simulation,q_pos_frac,figures/property_distributions_1d/high/simulation_q_pos_frac_q_pos_frac_value.png,28211,27273,high
system_frequency,simulation,q_pos_frac,figures/system_frequency/high/simulation_q_pos_frac.png,28211,27273,high
property_distribution_1d,simulation,gap,figures/property_distributions_1d/high/simulation_gap_gap_value.png,28213,27275,high
system_frequency,simulation,gap,figures/system_frequency/high/simulation_gap.png,28213,27275,high
property_distribution_1d,simulation,thermal_expansion,figures/property_distributions_1d/medium/simulation_thermal_expansion_thermal_expansion_value.png,12038,11946,medium
property_distribution_2d,simulation,thermal_expansion,figures/property_distributions_2d/medium/simulation_thermal_expansion_temperature_k_thermal_expansion_value.png,12038,11946,medium
system_frequency,simulation,thermal_expansion,figures/system_frequency/medium/simulation_thermal_expansion.png,12038,11946,medium
property_distribution_1d,simulation,transfer_organic,figures/property_distributions_1d/high/simulation_transfer_organic_transfer_organic_value.png,999968,999968,high
system_frequency,simulation,transfer_organic,figures/system_frequency/high/simulation_transfer_organic.png,999968,999968,high
normalized_property_violin,all,normalized_properties,figures/normalized_distributions/property_normalized_violin.png,1912140,1616284,all
condition_availability,all,condition_availability,figures/condition_availability/property_condition_availability_heatmap.png,1912140,1616284,all
